	track	rate_downloads_total	rate_listened_total	playlisted	favorited	likes	dislikes	avgnote	notes
150	track_0007259	571834	10149034	646	503	4	0	7.0	2
6545	track_1157362	3522217	6211754	6246	3946	220	12	9.8655	119
6546	track_1157358	1531020	3319512	3052	2064	74	2	9.873	63
7088	track_1194315	1070030	3036631	1767	1015	26	0	6.0	3
5614	track_1093792	758911	2954989	1323	774	168	7	8.1429	7
2654	track_0354778	356531	2798285	1568	691	52	22	7.3333	6
1834	track_0206596	118642	2359922	232	96	4	0	7.3333	3
5612	track_1093794	324656	2245197	1065	630	135	12	8.7143	7
7015	track_1180601	1872113	2152656	246	135	5	0	0.0	1
3093	track_0415590	52151	1997334	616	321	12	0	8.0	5
1553	track_0171574	109833	1697726	599	260	15	0	7.6	5
5013	track_1051196	41186	1691091	327	189	17	0	8.0	2
5963	track_1119024	235959	1618143	611	392	5	0	9.0	3
2068	track_0242384	75705	1427741	2359	894	23	2	7.25	4
5020	track_1051197	226408	1416124	550	309	76	2	9.0	6
800	track_0043886	340593	1408257	2860	1498	24	1	8.6667	6
1436	track_0145968	200004	1405300	895	535	8	0	8.0	2
1520	track_0172031	261594	1354497	637	357	9	4	8.0	4
1381	track_0135660	293904	1295307	691	366	9	6	8.0	2
6548	track_1157361	270532	1245194	1184	694	33	1	8.0	2
7045	track_1187970	120629	1154329	736	505	2	0	8.0	2
6921	track_1176656	206851	1135550	1662	1059	2	0	7.5	4
4694	track_1009671	47730	1135303	219	103	9	4	9.0	4
5029	track_1053845	33908	1127108	350	229	2	0	8.0	2
4686	track_1009672	12852	1115483	131	43	4	0	8.0	2
4837	track_1036934	202510	1110448	379	181	68	5	8.625	8
7114	track_1194312	40174	1106282	397	224	21	1	8.0	2
9005	track_1357118	35772	1091840	280	158	0	0	7.5	2
5662	track_1093795	78869	1071310	543	320	27	3	8.6667	3
50	track_0005340	532810	1062857	7053	5108	31	2	6.25	4
3251	track_0457120	36327	1027065	1086	519	21	0	7.0	4
585	track_0035349	104661	1021824	2216	825	9	1	7.25	4
8974	track_1356349	16296	1015926	57	25	0	0	7.0	2
1389	track_0135657	31669	1013117	1069	378	11	4	6.75	4
6612	track_1162014	378246	1004512	1162	718	23	1	7.2	5
5037	track_1051207	7020	996954	309	145	9	0	8.5	4
88	track_0005339	406631	981709	7241	5048	53	3	6.6	5
165	track_0007247	27175	963694	765	583	12	2	8.0	2
6567	track_1157360	81479	939503	825	532	27	0	9.7647	17
1594	track_0174393	43950	930903	416	218	17	4	6.6667	3
3543	track_0592180	118808	922826	1340	661	11	0	8.75	4
2302	track_0296235	22500	892422	738	447	12	1	7.0	2
3113	track_0439178	15227	886344	77	44	2	0	7.0	2
3076	track_0415600	21290	873719	332	194	1	0	8.0	2
9014	track_1357120	9825	869088	13	4	0	0	7.0	2
4390	track_0945196	23103	866682	304	187	2	0	7.0	2
7288	track_1211603	49323	858485	120	80	0	0	8.0	2
6020	track_1121390	21150	856797	265	157	4	0	8.0	2
5638	track_1093793	74790	842841	756	471	62	5	8.4286	7
1097	track_0108303	13174	840034	386	196	23	0	8.25	4
3360	track_0510027	6996	826705	247	131	1	0	8.0	2
7292	track_1211601	14990	824842	155	74	2	1	5.3333	3
1550	track_0172021	81360	820562	577	250	17	9	7.0	3
4836	track_1036435	23982	819081	627	418	13	1	8.75	4
4649	track_1009675	4730	815102	81	28	3	0	8.0	2
6870	track_1169699	13420	813198	74	33	1	0	7.0	2
3359	track_0510028	47347	809854	356	206	34	11	8.0	2
1430	track_0145945	60949	809560	617	412	3	0	8.0	2
1641	track_0177570	100541	805308	693	269	7	1	7.5	4
7625	track_1254630	436061	789381	1049	652	53	3	8.25	4
2067	track_0242640	24178	787486	1484	941	8	0	9.0	3
5012	track_1051198	77949	770038	139	70	4	1	8.0	2
1862	track_0208939	6746	767790	117	49	5	0	7.0	2
5733	track_1097943	88607	764320	247	126	42	2	8.6667	3
5761	track_1107251	210027	749356	1003	524	81	13	9.3846	13
3249	track_0457127	45930	746313	610	322	1	0	8.0	2
3086	track_0415605	11786	740682	270	114	1	0	8.0	2
2712	track_0357192	59574	737311	297	132	15	9	8.0	2
2676	track_0348881	38525	720304	381	191	19	0	7.25	4
7091	track_1194317	26511	720161	408	250	7	0	8.0	3
1680	track_0181523	12427	710772	282	113	4	0	8.0	3
3827	track_0741317	17909	707486	269	109	3	0	8.0	2
2758	track_0364090	9097	704331	563	308	7	2	8.0	2
1518	track_0172018	47063	703230	486	278	12	3	8.0	2
4402	track_0945192	31263	695952	388	230	2	0	8.0	2
5022	track_1051201	14456	690004	237	134	3	0	8.2	5
2197	track_0261271	31301	689089	577	268	10	0	8.6	5
4433	track_0945199	18566	681131	370	225	6	0	8.0	2
3007	track_0402055	99488	680389	1810	782	29	0	0.0	0
